Epoch 276 [constrained] | Target: 0.10 | Ethical cost: 29.2440 | H: 0.831
Epoch 277 [constrained] | Target: 0.10 | Ethical cost: 35.9681 | H: 0.874
Epoch 278 [constrained] | Target: 0.00 | Ethical cost: 28.9453 | H: 0.837
Epoch 279 [constrained] | Target: 0.30 | Ethical cost: 21.6817 | H: 0.792
Epoch 280 [constrained] | Target: 0.80 | Ethical cost: 12.3281 | H: 0.830
Epoch 281 [constrained] | Target: 0.10 | Ethical cost: 24.8868 | H: 0.812
Epoch 282 [constrained] | Target: 0.10 | Ethical cost: 22.5553 | H: 0.817
Epoch 283 [constrained] | Target: 0.10 | Ethical cost: 32.9875 | H: 0.822
Epoch 284 [constrained] | Target: 0.00 | Ethical cost: 42.5958 | H: 0.859
Epoch 285 [constrained] | Target: 0.00 | Ethical cost: 35.2990 | H: 0.847
Epoch 286 [constrained] | Target: 0.30 | Ethical cost: 37.5852 | H: 0.861
Epoch 287 [constrained] | Target: 0.10 | Ethical cost: 29.0048 | H: 0.844
Epoch 288 [constrained] | Target: 0.10 | Ethical cost: 38.7222 | H: 0.883
Epoch 289 [constrained] | Target: 0.60 | Ethical cost: 34.8437 | H: 0.855
Epoch 290 [constrained] | Target: 0.10 | Ethical cost: 29.5108 | H: 0.823
Epoch 291 [constrained] | Target: 0.10 | Ethical cost: 37.1317 | H: 0.845
Epoch 292 [constrained] | Target: 0.30 | Ethical cost: 39.6137 | H: 0.888
Epoch 293 [constrained] | Target: 0.10 | Ethical cost: 44.8299 | H: 0.866
Epoch 294 [constrained] | Target: 0.00 | Ethical cost: 32.8550 | H: 0.819
Epoch 295 [constrained] | Target: 0.00 | Ethical cost: 28.7356 | H: 0.808
Epoch 296 [constrained] | Target: 0.00 | Ethical cost: 42.3845 | H: 0.864
Epoch 297 [constrained] | Target: 0.00 | Ethical cost: 34.1209 | H: 0.839
Epoch 298 [constrained] | Target: 0.30 | Ethical cost: 30.7509 | H: 0.856
Epoch 299 [constrained] | Target: 0.00 | Ethical cost: 45.8528 | H: 0.873
Epoch 300 [constrained] | Target: 0.00 | Ethical cost: 22.8327 | H: 0.794
Epoch 301 [constrained] | Target: 0.10 | Ethical cost: 19.2412 | H: 0.785
Epoch 302 [constrained] | Target: 0.10 | Ethical cost: 24.0620 | H: 0.829
Epoch 303 [constrained] | Target: 0.10 | Ethical cost: 28.9355 | H: 0.795
Epoch 304 [constrained] | Target: 0.00 | Ethical cost: 30.9277 | H: 0.825
Epoch 305 [constrained] | Target: 0.70 | Ethical cost: 16.2066 | H: 0.823
Epoch 306 [constrained] | Target: 0.10 | Ethical cost: 29.6187 | H: 0.830
Epoch 307 [constrained] | Target: 0.00 | Ethical cost: 35.2499 | H: 0.850
Epoch 308 [constrained] | Target: 0.30 | Ethical cost: 13.5007 | H: 0.761
Epoch 309 [constrained] | Target: 0.10 | Ethical cost: 22.8966 | H: 0.782
Epoch 310 [constrained] | Target: 0.30 | Ethical cost: 18.3448 | H: 0.796
Epoch 311 [constrained] | Target: 0.00 | Ethical cost: 29.7763 | H: 0.808
Epoch 312 [constrained] | Target: 0.20 | Ethical cost: 23.8325 | H: 0.782
Epoch 313 [constrained] | Target: 0.20 | Ethical cost: 23.6048 | H: 0.798
Epoch 314 [constrained] | Target: 0.10 | Ethical cost: 27.2067 | H: 0.811
Epoch 315 [constrained] | Target: 0.10 | Ethical cost: 39.1460 | H: 0.844
Epoch 316 [constrained] | Target: 0.80 | Ethical cost: 9.8783 | H: 0.790
Epoch 317 [constrained] | Target: 0.30 | Ethical cost: 30.3626 | H: 0.810
Epoch 318 [constrained] | Target: 0.40 | Ethical cost: 23.8566 | H: 0.803
Epoch 319 [constrained] | Target: 0.30 | Ethical cost: 22.1335 | H: 0.793
Epoch 320 [constrained] | Target: 0.00 | Ethical cost: 39.3636 | H: 0.820
Epoch 321 [constrained] | Target: 0.10 | Ethical cost: 44.4126 | H: 0.837
Epoch 322 [constrained] | Target: 0.00 | Ethical cost: 33.0892 | H: 0.796
Epoch 323 [constrained] | Target: 0.00 | Ethical cost: 34.1838 | H: 0.763
Epoch 324 [constrained] | Target: 0.10 | Ethical cost: 28.0042 | H: 0.742
